ZipCode,State,County,May5CovidRestrictionsRank,May19CovidRestrictionsRank,CovidRestrictionsCategorical,HitDateByState(June26),Population,NumericalRestriction,DateBeginRestrictions,CovidImpactCategorical,Covid.per.10.000,NumCovidCases(Mid/late June),AreaName,PVI,District,PVI#,NumSocSec65,PropSocSec65,LandSqMi,PopDensity,PopDensityCategorical,MedianAge,MedianHouseholdIncome,MedHouseIncomeCategorical,PercentPoverty,PercentWhite,RaceCategorical,Race,PercentBlack,PercentAsian,PercentHispanic,PercentAmericanIndians,TotalRace,HousingCategorical,RUCA2,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30
62959,IL,Williamson,48,51,High,Mid,28201,37,3/16/2020,Low,15.60,44,Marion,R+5,IL-12,-5,"4,990",0.1769,135.2,208.59,Mid,41.6,51532,Mid,16.2,87.6,White,White,6.5,0,0,0,94.1,Low,4,116854,117206,117549,117823,118312,118687,118681,118634,118673,118864,118892,118818,118614,118491
87001,NM,Sandoval,35,44,High,Mid,3745,25,3/23/2020,High,197.60,74,Algodones,D+7,NM-01,7,370,0.0988,120.1,31.18,Low,33.2,41375,Low,28,8.5,Mostly American Indian,Mixed,0,0,16,74.5,99,Mid,2,250683,253924,258630,262112,264863,267507,270059,270938,271737,272833,275432,278309,279608,280073
87042,NM,Valencia,35,44,High,Mid,3577,25,3/23/2020,Low,8.39,3,Peralta,R+6,NM-02,-6,730,0.2041,4.5,794.89,Mid,46.5,51169,Mid,16.2,45.6,Majority Hispanic,Hispanic,0,3.7,50.7,0,100,Low,2,189096,189833,190908,192482,193673,194895,196177,197456,198453,198514,198772,198597,199025,198752
87116,NM,Bernalillo,35,44,High,Mid,3940,25,3/23/2020,Low,10.15,4,Alburquerque,D+7,NM-01,7,50,0.0127,3.3,1193.94,High,23.7,64464,Mid,4.6,69.8,Majority White,White,0,0,13.1,0,82.9,Mid,1,233482,235901,238565,241682,244380,245350,245733,246232,246972,247549,248313,250157,252199,253727
87121,NM,Bernalillo,35,44,High,Mid,78900,25,3/23/2020,Mid,31.05,245,Albuquerque,D+7/R+6/D+8,NM-01/02/03,3,"5,425",0.0688,256,308.20,Mid,29.7,42185,Low,22,9.8,Mostly Hispanic,Hispanic,0,0,83.7,3.5,97,Low,1,154269,155292,156260,157320,158428,159205,160250,161368,162421,163563,164664,165775,166974,167986
87122,NM,Bernalillo,35,44,High,Mid,18422,25,3/23/2020,Low,11.40,21,Alberquerque,D+7,NM-01,7,"3,385",0.1837,26.7,689.96,Mid,49.2,111429,High,3,66.8,Majority White,White,0,8.7,18.5,0,94,High,1,530603,533172,537112,542184,546039,546905,548110,549598,551901,554499,557452,560385,564347,567250
87124,NM,Sandoval,35,44,High,Mid,54780,25,3/23/2020,Low,13.87,76,Rio Rancho,D+8,NM-03,8,"9,025",0.1647,70.4,778.13,Mid,39.8,56502,Mid,11.3,49.3,No Majority,Mixed,0,0,41.2,0,90.5,Mid,1,189708,190352,191616,192840,194395,195696,197001,198326,200169,202110,204288,206982,209660,212457
87317,NM,Mckinley,35,44,High,Mid,1696,25,3/23/2020,High,701.65,119,Gamerco,D+8,NM-03,8,240,0.1415,23.4,72.48,Low,37,53063,Mid,25.6,4.7,Majority Hispanic,Hispanic,0,0,52.9,42.3,99.9,Low,4,165522,167340,168909,169397,169539,169666,170428,171866,172458,172714,173081,173806,174462,174999
87510,NM,Rio Arriba,35,44,High,Mid,738,25,3/23/2020,Low,13.55,1,Abiquiu,D+8,NM-03,8,330,0.4472,428.5,1.72,Low,43.8,NA,,NA,23.6,Mostly Hispanic,Hispanic,0,0,76.4,0,100,Low,10.5,169842,170457,171083,170984,171334,171900,172808,173074,172771,173158,173787,174848,175397,176017
87530,NM,Rio Arriba,35,44,High,Mid,1110,25,3/23/2020,Very Low,0.00,0,El Rito,D+8,NM-03,8,215,0.1937,141.2,7.86,Low,41.5,NA,,NA,1.9,Hispanic,Hispanic,0,0,98,0,99.9,Low,10.5,167341,168029,169137,169502,170344,170752,171627,172555,173307,173869,174369,175011,174881,174880
87531,NM,Rio Arriba,35,44,High,Mid,510,25,3/23/2020,Very Low,0.00,0,Embudo,D+8,NM-03,8,125,0.2451,35.7,14.29,Low,61.4,NA,,NA,20.2,Mostly Hispanic,Hispanic,0,0,79,0,99.2,Mid,4,189150,190682,192888,194746,196512,197477,199830,201960,205208,206445,207552,208348,209774,211360
88043,NM,Grant,35,44,High,Mid,1573,25,3/23/2020,Low,6.36,1,Hurley/N Hurley,R+6,NM-02,-6,325,0.2066,63.9,24.62,Low,39.1,37875,Very Low,13.8,24.6,Mostly Hispanic,Hispanic,0,0,73.6,0,98.2,Very Low,5,64782,65213,65891,66388,66907,67927,69216,70284,70857,71274,71635,72137,72218,72124
88061,NM,Grant,35,44,High,Mid,17768,25,3/23/2020,Low,5.63,10,Silver City,R+6,NM-02,-6,"3,325",0.1871,1429.1,12.43,Low,44.9,40515,Low,23.5,50.1,Majority White,White,0,0,46.1,0,96.2,Low,4,171289,172431,173312,174093,174711,175733,176713,177784,178604,179106,179674,180230,180867,181630
88063,NM,Dona Ana,35,44,High,Mid,13961,25,3/23/2020,Mid,85.95,120,Sunland Park,R+6,NM-02,-6,"1,480",0.1060,11.6,1203.53,High,30.1,24875,Very Low,40.3,2.4,Hispanic,Hispanic,0,0,97.4,0,99.8,Low,1,135218,136695,137696,137364,137054,136798,136169,136237,137228,138340,139846,140318,140063,139128
88065,NM,Grant,35,44,High,Mid,532,25,3/23/2020,Very Low,0.00,0,Tyrone,R+6,NM-02,-6,210,0.3947,1.4,380.00,Mid,34.5,49125,Low,16.7,62.4,Majority White,White,0,0,37.6,0,100,Low,4,119956,120959,120806,120477,119762,119552,119234,119265,119312,119780,120241,120735,120996,121541
88135,NM,Curry,35,44,High,Mid,1583,25,3/23/2020,Mid,82.12,13,Texico,D+8,NM-03,8,195,0.1232,169.6,9.33,Low,28.9,42786,Low,26.2,38.1,Majority Hispanic,Hispanic,6.4,0,53.5,0,98,Low,5,116136,116155,116562,117139,118229,118656,119068,119804,120331,120142,119683,119376,118926,119014
88345,NM,Lincoln,35,44,High,Mid,8418,25,3/23/2020,Very Low,1.19,1,Ruidoso,R+6,NM-02,-6,"1,315",0.1562,33,255.09,Mid,52.7,44623,Low,12.9,67.4,Majority White,White,0,0,28.6,1.5,97.5,Mid,7,218996,219391,219551,219104,217495,215008,213258,213177,213992,213860,213971,213564,213901,213966
88435,NM,Guadalupe,35,44,High,Mid,3787,25,3/23/2020,Mid,36.97,14,Santa Rosa,R+6,NM-02,-6,470,0.1241,1826.3,2.07,Low,38.7,28454,Very Low,15.5,21.1,Majority Hispanic,Hispanic,0,0,75.8,1.4,98.3,Low,7,133239,133220,133784,134344,135310,135746,136694,137534,139227,139802,140620,141209,141637,142111
